Vnum	Name	Rank	Type	BattleType	Level	ScalePct	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneSkin	SpGodSpeed	SpDeathBlow	SpRevive	HitRange
131	Lanetli_Kurt	KNIGHT	MONSTER	MELEE	8	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	60	91	198	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
132	Lanetli_Alfa_Kurt	S_KNIGHT	MONSTER	MELEE	9	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	33	41	743	6	7	80	121	444	13	100	120	100	2000	175	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
133	Lanetli_Mavi_Kurt	KNIGHT	MONSTER	MELEE	11	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	37	45	564	6	7	77	116	270	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
134	Lanetli_Alfa_Mavi_Kurt	S_KNIGHT	MONSTER	MELEE	14	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	42	51	1110	6	7	116	175	684	18	100	120	100	2000	175	30027	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
135	Lanetli_Gri_Kurt	KNIGHT	MONSTER	MELEE	18	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	17	25	25	8	49	60	936	6	7	116	175	438	22	100	120	100	2000	175	30070	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
136	Lanetli_Alfa_Gri_Kurt	S_KNIGHT	MONSTER	MELEE	21	100		AGGR	0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	42	78	1761	6	12	167	250	1020	26	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
137	Lanetli_Yaban_Domuzu	KNIGHT	MONSTER	MELEE	12	100		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	610	6	7	83	124	294	16	100	120	100	2000	175	30004	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
138	LanKirmizi_Yaban_Domuzu	S_KNIGHT	MONSTER	MELEE	15	100		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	124	186	732	19	100	120	100	2000	175	30003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
139	Lanetli_Ayi	KNIGHT	MONSTER	MELEE	17	100		AGGR	0	ANIMAL	CURSE	0	bear	0	36	18	27	9	37	68	875	6	7	111	166	414	21	100	120	100	2000	175	30010	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
140	Lanetli_Gri_Ayi	S_KNIGHT	MONSTER	TANKER	20	100		AGGR	0	ANIMAL	CURSE	0	bear	0	36	19	27	9	52	64	1659	6	7	160	240	972	25	100	120	100	2000	175	30071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
141	Lanetli_Siyah_Ayi	KNIGHT	MONSTER	TANKER	24	100		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	46	85	1342	6	7	150	225	582	29	100	120	100	2000	175	30053	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
142	Lanetli_Kahverengi_Ayi	S_KNIGHT	MONSTER	TANKER	26	100		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	2342	4	12	203	304	1260	31	100	120	100	2000	175	30072	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
143	Lanetli_Kaplan	KNIGHT	MONSTER	POWER	24	100		AGGR	0	ANIMAL	CURSE	0	tiger	0	28	38	19	9	52	79	1342	6	12	150	225	582	29	100	120	100	2000	175	30038	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
144	Lanetli_Beyaz_Kaplan	S_KNIGHT	MONSTER	POWER	29	100		AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	2685	9	22	224	337	1404	34	100	120	100	2000	175	30023	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
151	Cung_Mok	BOSS	MONSTER	MELEE	9	100			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	6	5	50	100	100	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
152	Mu_Rang	BOSS	MONSTER	MELEE	16	100			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	8	10	100	150	200	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
153	Jug_Hyul	BOSS	MONSTER	MELEE	10	100			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	600	6	5	60	140	120	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
154	Young_Ji	BOSS	MONSTER	POWER	21	100			0	ANIMAL		0	bear	0	35	15	23	8	54	66	1000	8	10	150	200	220	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
155	Li_An	BOSS	MONSTER	POWER	24	100		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	15	20	150	220	250	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
171	Ac_Yabani_Kopek	PAWN	MONSTER	MELEE	1	100			0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	101	6	7	18	27	11	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
172	Ac_Kurt	PAWN	MONSTER	MELEE	3	100			0	ANIMAL		0	wolf	0	4	9	7	2	28	34	129	6	7	23	34	27	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
173	Ac_Alfa_Kurt	PAWN	MONSTER	MELEE	4	100			0	ANIMAL		0	wolf	0	8	5	10	3	30	36	145	6	7	25	38	36	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
174	Ac_Mavi_Kurt	PAWN	MONSTER	MELEE	6	100			0	ANIMAL		0	wolf	0	9	12	6	3	30	46	180	6	7	30	45	53	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
175	Ac_Alfa_Mavi_Kurt	PAWN	MONSTER	MELEE	9	100			0	ANIMAL		0	wolf	0	14	8	16	4	40	49	238	6	7	37	56	78	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
176	Ac_Gri_Kurt	PAWN	MONSTER	MELEE	13	100			0	ANIMAL		0	wolf	0	21	21	10	5	48	59	329	6	7	47	70	111	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
177	Ac_Alfa_Gri_Kurt	S_PAWN	MONSTER	MELEE	16	100			0	ANIMAL		0	wolf	0	23	24	12	6	54	66	491	6	12	80	120	164	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
178	Ac_Yaban_Domuzu	PAWN	MONSTER	MELEE	7	100			0	ANIMAL		0	wild_boar	0	14	7	10	3	36	44	198	6	7	32	49	61	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
179	Ac_Kirmizi_Yaban_Domuzu	S_PAWN	MONSTER	MELEE	10	100			0	ANIMAL		0	wild_boar	0	22	9	13	4	42	52	311	3	7	56	84	103	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
180	Ac_Ayi	PAWN	MONSTER	POWER	12	100			0	ANIMAL		0	bear	0	20	10	20	5	47	56	305	6	7	44	67	103	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
181	Ac_Boz_Ayi	S_PAWN	MONSTER	TANKER	15	100			0	ANIMAL		0	bear	0	14	17	34	6	53	64	458	6	7	76	114	154	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
182	Ac_Siyah_Ayi	PAWN	MONSTER	POWER	19	100			0	ANIMAL		0	bear	0	36	14	21	7	60	74	499	6	7	61	92	270	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
183	Ac_Kahverengi_Ayi	S_PAWN	MONSTER	POWER	21	100			0	ANIMAL		0	bear	0	35	15	23	8	65	79	676	6	12	100	150	357	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
184	Ac_Kaplan	PAWN	MONSTER	POWER	18	100			0	ANIMAL		0	tiger	0	18	20	27	7	59	72	468	6	12	59	88	256	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
185	Ac_Beyaz_Kaplan	S_PAWN	MONSTER	POWER	24	100		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	71	86	805	10	22	112	168	407	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
191	Lykos	BOSS	MONSTER	MELEE	30	100			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	mountain_dog_god	0	39	20	30	10	52	96	2940	4	12	232	348	2420	35	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.0
192	Scrofa	BOSS	MONSTER	MELEE	31	100			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	wild_boar_god	0	30	20	41	10	68	84	3069	14	17	239	358	2500	37	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.0
193	Bera	BOSS	MONSTER	TANKER	33	100			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	bear	0	32	22	43	11	72	88	3385	19	22	253	380	2660	39	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0.0
194	Tigris	BOSS	MONSTER	POWER	35	100			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	tiger	0	23	45	34	11	67	100	3616	24	27	268	402	2820	41	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0.0
301	Beyaz_Yeminli_Asker	PAWN	MONSTER	MELEE	18	100			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	49	60	613	6	5	64	97	365	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
302	Beyaz_Yeminli_Okcu	PAWN	MONSTER	RANGE	20	100			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	46	70	506	6	7	128	192	405	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
303	Beyaz_Yeminli_General	S_PAWN	MONSTER	MELEE	25	100			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	47	88	1115	8	12	127	190	848	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
304	Beyaz_Yeminli_Komutan	S_PAWN	MONSTER	MELEE	25	100		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	61	74	1115	8	12	127	190	848	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
331	Beyaz_Yeminli_Asker	S_PAWN	MONSTER	MELEE	18	100		AGGR	0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	56	69	1450	12	7	300	450	558	22	110	120	35	2000	150	30034	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
332	Beyaz_Yeminli_Okcu	S_PAWN	MONSTER	RANGE	20	100		AGGR	0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	53	80	1622	12	7	324	486	606	25	70	130	35	2000	650	30031	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
333	Beyaz_Yeminli_General	KNIGHT	MONSTER	MELEE	25	100		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	384	576	1452	30	110	120	35	2000	150	30011	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
334	Beyaz_Yeminli_Komutan	KNIGHT	MONSTER	MELEE	25	100		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	384	576	1452	30	110	120	35	2000	150	30073	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
351	Korkak_Beyaz_Yeminli_Aske	S_PAWN	MONSTER	MELEE	18	100			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	59	72	490	6	5	64	97	256	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
352	Korkak_Beyaz_Yeminli_Okcu	S_PAWN	MONSTER	RANGE	20	100			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	55	84	404	6	7	128	192	284	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
353	Korkak_Beyaz_Yeminli_Gene	KNIGHT	MONSTER	MELEE	25	100			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	56	106	892	8	12	127	190	594	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
354	Korkak_Beyaz_Yeminli_Komu	KNIGHT	MONSTER	MELEE	25	100			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	73	89	892	8	12	127	190	594	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
391	Mi_Jung	S_KNIGHT	MONSTER	MAGIC	23	100			0	HUMAN	SLOW	0	bksecond	0	32	16	24	8	44	82	2076	9	17	199	298	2604	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0.0
392	Eun_Jung	S_KNIGHT	MONSTER	MAGIC	26	100			0	HUMAN	SLOW	0	bkthird	0	36	18	27	9	48	89	2453	14	22	223	334	2940	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0.0
393	Se_Rang	S_KNIGHT	MONSTER	MAGIC	28	100			0	HUMAN	SLOW	0	bkfourth	0	38	19	29	10	51	94	2692	19	27	239	358	3164	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0.0
394	Jin_Hee	BOSS	MONSTER	MAGIC	31	100			0	HUMAN	SLOW	0	bkboss	0	42	21	31	10	55	101	3069	19	32	262	393	3500	37	100	150	100	2000	175	30073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0.0
395	Moralsiz_Mi_Jung	S_KNIGHT	MONSTER	MAGIC	23	100			0	HUMAN	SLOW	0	bksecond	0	32	16	24	8	71	86	392	9	17	199	298	1823	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0.0
396	Moralsiz_Eun_Jung	S_KNIGHT	MONSTER	MAGIC	26	100			0	HUMAN	SLOW	0	bkthird	0	36	18	27	9	66	101	324	14	22	223	334	2058	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0.0
